filepaths,name,No,5mm,30mm,target_size,setting,date,time
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104443524.pickle,O6302-20240704104443524,23,27.995,27.997,28.0,DOE6-2,0704,1044
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104557750.pickle,O6302-20240704104557750,24,27.995,27.997,28.0,DOE6-2,0704,1045
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104706193.pickle,O6302-20240704104706193,25,27.996,27.997,28.0,DOE6-2,0704,1047
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104949650.pickle,O6302-20240704104949650,26,27.994,27.997,28.0,DOE6-2,0704,1049
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704105101562.pickle,O6302-20240704105101562,27,27.995,27.996,28.0,DOE6-2,0704,1051
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704105716877.pickle,O6302-20240704105716877,28,27.995,27.996,28.0,DOE6-2,0704,1057
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704105824757.pickle,O6302-20240704105824757,29,27.995,27.996,28.0,DOE6-2,0704,1058
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704105925658.pickle,O6302-20240704105925658,30,27.995,27.996,28.0,DOE6-2,0704,1059
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704110045834.pickle,O6302-20240704110045834,31,27.995,27.997,28.0,DOE6-2,0704,1100
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704110153300.pickle,O6302-20240704110153300,32,27.995,27.996,28.0,DOE6-2,0704,1101
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704110301631.pickle,O6302-20240704110301631,33,27.995,27.996,28.0,DOE6-2,0704,1103
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704110413461.pickle,O6302-20240704110413461,34,27.995,27.996,28.0,DOE6-2,0704,1104
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704110607703.pickle,O6302-20240704110607703,35,27.995,27.996,28.0,DOE6-2,0704,1106
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704112205853.pickle,O6302-20240704112205853,36,27.995,27.997,28.0,DOE6-2,0704,1122
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711092424532.pickle,O6302-20240711092424532,1,29.989,29.99,30.0,DOE6-3,0711,0924
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093149960.pickle,O6302-20240711093149960,2,29.995,29.996,30.0,DOE6-3,0711,0931
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093428789.pickle,O6302-20240711093428789,4,30.0,29.996,30.0,DOE6-3,0711,0934
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093547436.pickle,O6302-20240711093547436,5,29.996,29.996,30.0,DOE6-3,0711,0935
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093701403.pickle,O6302-20240711093701403,6,29.995,29.996,30.0,DOE6-3,0711,0937
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093816193.pickle,O6302-20240711093816193,7,29.994,29.995,30.0,DOE6-3,0711,0938
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711093928196.pickle,O6302-20240711093928196,8,29.995,29.997,30.0,DOE6-3,0711,0939
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711094038427.pickle,O6302-20240711094038427,9,29.995,29.997,30.0,DOE6-3,0711,0940
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711094148886.pickle,O6302-20240711094148886,10,29.996,29.998,30.0,DOE6-3,0711,0941
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711095055636.pickle,O6302-20240711095055636,11,29.995,29.997,30.0,DOE6-3,0711,0950
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711095231978.pickle,O6302-20240711095231978,12,29.996,29.997,30.0,DOE6-3,0711,0952
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711100929732.pickle,O6302-20240711100929732,14,29.996,29.994,30.0,DOE6-3,0711,1009
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711101324808.pickle,O6302-20240711101324808,15,29.995,29.996,30.0,DOE6-3,0711,1013
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711101444899.pickle,O6302-20240711101444899,16,29.994,29.995,30.0,DOE6-3,0711,1014
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711101610309.pickle,O6302-20240711101610309,17,29.995,29.996,30.0,DOE6-3,0711,1016
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711101731132.pickle,O6302-20240711101731132,18,29.993,29.995,30.0,DOE6-3,0711,1017
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711102730883.pickle,O6302-20240711102730883,20,29.995,29.997,30.0,DOE6-3,0711,1027
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711105442889.pickle,O6302-20240711105442889,21,29.994,29.995,30.0,DOE6-3,0711,1054
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711105551851.pickle,O6302-20240711105551851,22,29.993,29.996,30.0,DOE6-3,0711,1055
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711105657038.pickle,O6302-20240711105657038,23,29.993,29.993,30.0,DOE6-3,0711,1056
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711105807390.pickle,O6302-20240711105807390,24,29.992,29.993,30.0,DOE6-3,0711,1058
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711105913060.pickle,O6302-20240711105913060,25,29.993,29.994,30.0,DOE6-3,0711,1059
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711110024263.pickle,O6302-20240711110024263,26,29.993,29.994,30.0,DOE6-3,0711,1100
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711110138769.pickle,O6302-20240711110138769,27,29.994,29.995,30.0,DOE6-3,0711,1101
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711110309795.pickle,O6302-20240711110309795,28,29.995,29.997,30.0,DOE6-3,0711,1103
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711110639844.pickle,O6302-20240711110639844,29,29.995,29.997,30.0,DOE6-3,0711,1106
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711110755074.pickle,O6302-20240711110755074,30,29.996,29.998,30.0,DOE6-3,0711,1107
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111227182.pickle,O6302-20240711111227182,31,29.994,29.996,30.0,DOE6-3,0711,1112
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111338908.pickle,O6302-20240711111338908,32,29.994,29.996,30.0,DOE6-3,0711,1113
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111444323.pickle,O6302-20240711111444323,33,29.996,29.995,30.0,DOE6-3,0711,1114
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111600130.pickle,O6302-20240711111600130,34,29.994,29.996,30.0,DOE6-3,0711,1116
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111723892.pickle,O6302-20240711111723892,35,29.996,29.997,30.0,DOE6-3,0711,1117
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111837615.pickle,O6302-20240711111837615,36,29.994,29.996,30.0,DOE6-3,0711,1118
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711111948734.pickle,O6302-20240711111948734,37,29.995,29.994,30.0,DOE6-3,0711,1119
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711112101761.pickle,O6302-20240711112101761,38,29.996,29.997,30.0,DOE6-3,0711,1121
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711112229463.pickle,O6302-20240711112229463,39,29.995,29.997,30.0,DOE6-3,0711,1122
dataset/DOE_6/切割訊號/DOE6-3/all/O6302-20240711112352946.pickle,O6302-20240711112352946,40,29.994,29.996,30.0,DOE6-3,0711,1123
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801092853856.pickle,O6302-20240801092853856,1,31.99,31.991,32.0,DOE6-4,0801,0928
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801094112458.pickle,O6302-20240801094112458,2,31.998,32.0,32.0,DOE6-4,0801,0941
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801094346319.pickle,O6302-20240801094346319,3,31.998,32.0,32.0,DOE6-4,0801,0943
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801094720939.pickle,O6302-20240801094720939,5,31.998,31.999,32.0,DOE6-4,0801,0947
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801094838709.pickle,O6302-20240801094838709,6,32.0,32.001,32.0,DOE6-4,0801,0948
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801094952211.pickle,O6302-20240801094952211,7,31.999,32.0,32.0,DOE6-4,0801,0949
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801095104430.pickle,O6302-20240801095104430,8,32.0,32.001,32.0,DOE6-4,0801,0951
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801095218521.pickle,O6302-20240801095218521,9,31.999,32.001,32.0,DOE6-4,0801,0952
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801095335211.pickle,O6302-20240801095335211,10,32.0,32.001,32.0,DOE6-4,0801,0953
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801095907273.pickle,O6302-20240801095907273,11,32.0,32.001,32.0,DOE6-4,0801,0959
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100019920.pickle,O6302-20240801100019920,12,31.999,32.002,32.0,DOE6-4,0801,1000
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100121835.pickle,O6302-20240801100121835,13,31.999,32.0,32.0,DOE6-4,0801,1001
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100227150.pickle,O6302-20240801100227150,14,32.001,32.003,32.0,DOE6-4,0801,1002
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100330080.pickle,O6302-20240801100330080,15,32.001,32.002,32.0,DOE6-4,0801,1003
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100444291.pickle,O6302-20240801100444291,16,31.999,32.001,32.0,DOE6-4,0801,1004
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100553730.pickle,O6302-20240801100553730,17,31.999,32.001,32.0,DOE6-4,0801,1005
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100705640.pickle,O6302-20240801100705640,18,32.0,32.002,32.0,DOE6-4,0801,1007
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801100816180.pickle,O6302-20240801100816180,19,32.001,32.003,32.0,DOE6-4,0801,1008
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801101023338.pickle,O6302-20240801101023338,20,32.001,32.004,32.0,DOE6-4,0801,1010
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801101701218.pickle,O6302-20240801101701218,21,32.001,32.003,32.0,DOE6-4,0801,1017
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801101908731.pickle,O6302-20240801101908731,23,32.0,32.001,32.0,DOE6-4,0801,1019
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102012139.pickle,O6302-20240801102012139,24,31.999,32.001,32.0,DOE6-4,0801,1020
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102115897.pickle,O6302-20240801102115897,25,31.999,32.001,32.0,DOE6-4,0801,1021
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102225196.pickle,O6302-20240801102225196,26,32.0,32.001,32.0,DOE6-4,0801,1022
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102327131.pickle,O6302-20240801102327131,27,32.0,32.002,32.0,DOE6-4,0801,1023
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102532276.pickle,O6302-20240801102532276,28,32.001,32.002,32.0,DOE6-4,0801,1025
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102647239.pickle,O6302-20240801102647239,29,31.999,32.0,32.0,DOE6-4,0801,1026
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801102757074.pickle,O6302-20240801102757074,30,32.001,32.002,32.0,DOE6-4,0801,1027
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103217481.pickle,O6302-20240801103217481,31,32.002,32.004,32.0,DOE6-4,0801,1032
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103320043.pickle,O6302-20240801103320043,32,32.0,32.001,32.0,DOE6-4,0801,1033
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103539913.pickle,O6302-20240801103539913,33,32.001,32.002,32.0,DOE6-4,0801,1035
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103650152.pickle,O6302-20240801103650152,34,31.999,32.0,32.0,DOE6-4,0801,1036
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103754612.pickle,O6302-20240801103754612,35,31.999,32.003,32.0,DOE6-4,0801,1037
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801103855637.pickle,O6302-20240801103855637,36,32.001,32.002,32.0,DOE6-4,0801,1038
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801104003873.pickle,O6302-20240801104003873,37,32.0,32.001,32.0,DOE6-4,0801,1040
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801104103795.pickle,O6302-20240801104103795,38,31.999,32.0,32.0,DOE6-4,0801,1041
dataset/DOE_6/切割訊號/DOE6-4/all/O6302-20240801104323028.pickle,O6302-20240801104323028,40,32.001,32.004,32.0,DOE6-4,0801,1043
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806140654097.pickle,O6302-20240806140654097,1,34.0,33.999,34.0,DOE6-5,0806,1406
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142027294.pickle,O6302-20240806142027294,2,33.998,33.998,34.0,DOE6-5,0806,1420
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142129968.pickle,O6302-20240806142129968,3,33.997,33.998,34.0,DOE6-5,0806,1421
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142245711.pickle,O6302-20240806142245711,4,33.997,33.998,34.0,DOE6-5,0806,1422
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142358442.pickle,O6302-20240806142358442,5,33.997,33.999,34.0,DOE6-5,0806,1423
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142505480.pickle,O6302-20240806142505480,6,33.997,33.998,34.0,DOE6-5,0806,1425
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142609899.pickle,O6302-20240806142609899,7,33.997,33.997,34.0,DOE6-5,0806,1426
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142716006.pickle,O6302-20240806142716006,8,33.998,33.999,34.0,DOE6-5,0806,1427
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142820609.pickle,O6302-20240806142820609,9,33.998,33.999,34.0,DOE6-5,0806,1428
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806142929495.pickle,O6302-20240806142929495,10,33.996,33.997,34.0,DOE6-5,0806,1429
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806143558196.pickle,O6302-20240806143558196,11,33.998,34.0,34.0,DOE6-5,0806,1435
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806143703011.pickle,O6302-20240806143703011,12,33.997,33.998,34.0,DOE6-5,0806,1437
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806143804914.pickle,O6302-20240806143804914,13,33.999,34.001,34.0,DOE6-5,0806,1438
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806143905657.pickle,O6302-20240806143905657,14,33.996,33.997,34.0,DOE6-5,0806,1439
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144009804.pickle,O6302-20240806144009804,15,33.998,33.999,34.0,DOE6-5,0806,1440
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144115722.pickle,O6302-20240806144115722,16,33.997,33.997,34.0,DOE6-5,0806,1441
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144306697.pickle,O6302-20240806144306697,17,33.996,33.997,34.0,DOE6-5,0806,1443
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144411507.pickle,O6302-20240806144411507,18,33.997,33.998,34.0,DOE6-5,0806,1444
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144605945.pickle,O6302-20240806144605945,19,33.995,33.996,34.0,DOE6-5,0806,1446
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806144726435.pickle,O6302-20240806144726435,20,33.996,33.996,34.0,DOE6-5,0806,1447
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145303045.pickle,O6302-20240806145303045,21,33.997,33.998,34.0,DOE6-5,0806,1453
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145411676.pickle,O6302-20240806145411676,22,33.996,33.997,34.0,DOE6-5,0806,1454
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145517927.pickle,O6302-20240806145517927,23,33.995,33.996,34.0,DOE6-5,0806,1455
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145621434.pickle,O6302-20240806145621434,24,33.995,33.997,34.0,DOE6-5,0806,1456
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145731065.pickle,O6302-20240806145731065,25,33.996,33.997,34.0,DOE6-5,0806,1457
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145831775.pickle,O6302-20240806145831775,26,33.997,33.996,34.0,DOE6-5,0806,1458
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806145935006.pickle,O6302-20240806145935006,27,33.996,33.998,34.0,DOE6-5,0806,1459
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806150043297.pickle,O6302-20240806150043297,28,33.996,33.997,34.0,DOE6-5,0806,1500
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806150234587.pickle,O6302-20240806150234587,29,33.996,33.996,34.0,DOE6-5,0806,1502
dataset/DOE_6/切割訊號/DOE6-5/all/O6302-20240806150341710.pickle,O6302-20240806150341710,30,33.995,33.997,34.0,DOE6-5,0806,1503
